Referring Domain,In Semrush Audit,In Ahrefs Live,Current Action,Link-Level Rows (new),Dead/Unreachable Links,Redirect Hosts,Brand-Owned Hop,Ahrefs Traffic,Ahrefs Positions,Ahrefs Follow Links,Ahrefs is_spam,IP,Generated Family
allcoupons.org,False,True,NOT_AUDITED,0,0,,False,0,0,4,False,188.114.97.3,
allebewertungen.de,True,True,KEEP_AFFILIATE_RETAIN,3,0,,False,35,29,1,False,87.233.202.181,
allgoodhealth.net,True,True,KEEP_AFFILIATE_RETAIN,11,7,,False,0,0,496,False,104.21.89.33,
allinone.co.in,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,92.249.46.138,
allistingdirectory.com,False,True,NOT_AUDITED,0,0,,False,0,0,2,True,213.199.63.182,
alljobs.info,True,True,DISAVOW,7,0,dtcx.com;nutropic.com;testolabpro.com,True,0,0,8,True,118.139.176.46,
allreviews.in,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
alltdesign.com,True,True,KEEP_AFFILIATE_RETAIN,5,0,nutropic.com,False,0,0,17,True,104.21.52.220,
alltopleveldomains.space,True,False,DISAVOW,5,0,nutropic.com;performancelabs.com,False,,,0,False,,
allwebsites.net,True,False,DISAVOW,1,0,,False,,,0,False,,
allwebsitesdirectory.com,True,True,DISAVOW,4,0,dtcx.com;nutropic.com;testolabpro.com,True,0,0,1,True,184.168.115.60,
almashhad.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,131855,17911,2,False,52.84.118.88,
almrsal.com,True,False,KEEP_AFFILIATE_RETAIN,2,0,,False,,,0,False,,
aloysionunes.com,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
alpana.co.in,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,0,1,0,False,184.168.116.137,
alpha-local-seo-group-rank-forge.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.135.55,
alphapowershop.online,True,True,REVIEW_MANUALLY,1,0,,False,0,0,2,True,185.158.133.1,
altgng.com,True,True,REVIEW_MANUALLY,10,0,,False,0,0,1,False,68.183.143.60,
altheaprovence.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,4582,1192,0,False,185.246.47.134,
alwaha.ly,True,True,REVIEW_MANUALLY,6,0,,False,0,0,0,True,102.213.180.2,
amazonaws.com,True,False,KEEP_AFFILIATE_RETAIN,0,0,,False,,,0,False,,
amberstudent.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,114187,19153,1,False,108.156.46.112,
ambien-blog.com,True,True,KEEP_AFFILIATE_RETAIN,4,0,,False,0,0,4,False,172.67.168.182,
americanspcc.org,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,10458,1271,1,False,167.71.93.177,
americanstartups.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,0,1,3,False,172.67.195.147,
americasmall.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,14,13,0,False,35.215.99.239,
amoblog.com,True,True,DISAVOW,6,0,nutropic.com,False,0,0,18,True,104.21.64.44,
amoresplendidlife.com,True,False,KEEP_AFFILIATE_RETAIN,2,0,,False,,,0,False,,
ampblogs.com,True,True,DISAVOW,18,0,nutropic.com,False,0,0,6,False,104.21.68.35,
ampedpages.com,True,True,DISAVOW,18,0,nutropic.com,False,0,0,34,False,172.67.200.110,
ampedstatus.org,True,False,KEEP_AFFILIATE_RETAIN,2,0,,False,,,0,False,,
ampliz.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,5539,4487,1,False,172.67.221.143,
amyyroxanne.pages.dev,True,False,DISAVOW,0,0,,False,,,0,False,,
anabolicsteroidforums.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,3421,1030,0,False,143.202.160.72,
anakarolinapsicologa.com,True,False,REVIEW_MANUALLY,2,0,,False,,,0,False,,
analyticshaven.top,True,True,REVIEW_MANUALLY,4,0,nutropic.com;testolabpro.com,True,0,0,0,True,195.20.19.178,
anationofmoms.com,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
anchor-blog.com,True,False,REVIEW_MANUALLY,24,0,nutropic.com,False,,,0,False,,
anchor-text-link-juice-and-high-da-depot.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.144.131,
anchorurl.cloud,True,False,REVIEW_MANUALLY,4,0,dtcx.com;testolabpro.com,True,,,0,False,,
andmax.fr,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,62.210.16.61,
anganwadi.in,True,True,REVIEW_MANUALLY,0,0,,False,0,0,0,True,184.168.115.25,
