Referring_Domain,Semrush_AS,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk
manchester.sch.uk,36,1,0,0,0,0,0,0,0,0,0
manchesterworld.uk,36,0,0,0,0,0,0,0,2,0,0
mkfm.com,36,1,0,0,0,0,0,0,0,0,0
otsnews.co.uk,36,0,0,0,0,0,0,1,0,0,1
podcastrepublic.net,36,1,0,0,0,0,0,0,0,0,0
softcircles.com,36,0,0,0,0,0,0,0,0,0,1
advancedautism.com,35,0,0,0,0,0,0,1,0,0,0
bristolpride.co.uk,35,0,0,0,0,0,0,0,2,0,0
clodura.ai,35,0,0,0,0,0,0,0,0,1,0
companiesintheuk.co.uk,35,2,0,0,0,0,0,0,0,0,0
culturaldaily.com,35,0,0,0,0,0,0,1,0,0,1
deeside.com,35,0,0,0,0,0,0,1,0,0,1
dolphinholidays.co.uk,35,0,0,0,0,0,0,1,0,0,1
dudleyci.co.uk,35,3,0,0,0,0,0,0,0,0,0
glarity.app,35,1,0,0,0,0,0,4,0,1,0
letsdiskuss.com,35,0,0,0,0,0,0,0,0,0,1
londonmumsmagazine.com,35,0,0,0,0,0,0,1,0,0,1
mettle.co.uk,35,1,0,0,0,0,0,0,0,0,0
ourkidthings.com,35,0,0,0,0,0,0,1,0,0,1
shoutoutuk.org,35,0,0,0,0,0,0,1,0,0,1
smenews.digital,35,0,0,0,0,0,0,0,0,1,0
synup.com,35,0,0,0,0,0,0,0,0,4,0
techslassh.com,35,0,0,0,0,0,0,1,0,0,1
the-gingerbread-house.co.uk,35,0,0,0,0,0,0,1,0,0,0
theinspirationedit.com,35,0,0,0,0,0,0,1,0,0,1
thotslifed.com,35,0,0,0,0,0,0,0,0,0,1
totalguidetobath.com,35,0,0,0,0,0,0,1,0,0,1
aquaidwatercoolers.co.uk,34,0,0,0,0,0,0,0,12,0,0
bloomberry.com,34,0,0,0,0,0,0,0,3,3,0
bullocksbuzz.com,34,0,0,0,0,0,0,0,0,0,1
cbseguess.com,34,0,0,0,0,0,0,1,0,0,1
checkasalary.co.uk,34,0,0,0,0,0,0,0,0,0,1
clubhubuk.co.uk,34,1,0,0,0,0,0,0,0,0,0
elmens.com,34,0,0,0,0,0,0,1,0,0,1
europages.de,34,0,0,0,0,0,0,0,0,1,0
europeanbusinessmagazine.com,34,0,0,0,0,0,0,0,0,0,2
europeanbusinessreview.com,34,0,0,0,0,0,0,1,0,0,1
greatbritishfoodfestival.com,34,4,0,0,0,0,0,0,0,0,0
multischolar.com,34,0,0,0,0,0,0,1,0,0,1
mygreenbucks.net,34,0,0,0,0,0,0,11,0,0,9
nff.org.uk,34,1,0,0,0,0,0,0,0,0,0
outfrontmagazine.com,34,0,0,0,0,0,0,0,1,0,0
plugandplaydesign.co.uk,34,0,0,0,0,0,0,0,0,1,0
podscan.fm,34,2,0,0,0,0,0,0,0,0,0
psychreg.org,34,0,0,0,0,0,0,1,0,0,1
rtor.org,34,0,0,0,0,0,0,0,0,1,0
sensoryedge.com,34,0,0,0,0,0,0,1,0,0,1
