domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
directoryspace.biz,2,2,69.13.101.45,2,us,2026-02-17,2026-04-08,TOXIC,pbn-ip-cluster:69.13.101; very-low-authority(AS2); directory/article/bookmark-spam-name
elibtory.com,2,3,64.182.49.56,2,us,2026-03-08,2026-04-18,TOXIC,pbn-ip-cluster:64.182.49; very-low-authority(AS2)
favoritedirectori.com,2,2,69.13.9.75,2,us,2026-02-14,2026-04-04,TOXIC,pbn-ip-cluster:69.13.9; very-low-authority(AS2); directory/article/bookmark-spam-name
getquicklisting.com,2,2,64.182.139.18,2,us,2026-02-27,2026-08-31,TOXIC,pbn-ip-cluster:64.182.139; very-low-authority(AS2); directory/article/bookmark-spam-name
greatbizdir.com,2,3,64.182.77.56,2,us,2026-03-07,2026-04-17,TOXIC,pbn-ip-cluster:64.182.77; very-low-authority(AS2); directory/article/bookmark-spam-name
hallofdistinction.com,2,1,69.13.232.178,2,us,2026-03-03,2026-04-13,TOXIC,pbn-ip-cluster:69.13.232; very-low-authority(AS2)
hotvsnot.ws,2,2,64.182.108.8,2,us,2026-03-19,2026-04-08,TOXIC,pbn-ip-cluster:64.182.108; very-low-authority(AS2); spam-tld(.ws)
huntpush.com,2,1,69.13.73.201,2,us,2026-08-27,2026-08-27,TOXIC,pbn-ip-cluster:69.13.73; very-low-authority(AS2)
infobusinesses.co,2,1,69.13.77.49,2,us,2026-08-13,2026-08-29,TOXIC,pbn-ip-cluster:69.13.77; very-low-authority(AS2)
leading-businesses.com,2,1,69.13.80.112,2,us,2026-08-10,2026-08-26,TOXIC,pbn-ip-cluster:69.13.80; very-low-authority(AS2)
listingcenter.org,2,1,69.13.82.16,2,us,2026-08-11,2026-08-27,TOXIC,pbn-ip-cluster:69.13.82; very-low-authority(AS2); directory/article/bookmark-spam-name
listmybusiness.org,2,1,185.198.8.17,2,se,2025-12-31,2026-04-14,TOXIC,pbn-ip-cluster:185.198.8; very-low-authority(AS2); foreign-geo-cluster(se)
localpagecitybook.com,2,2,69.13.246.115,2,us,2026-03-12,2026-08-17,TOXIC,pbn-ip-cluster:69.13.246; very-low-authority(AS2)
monetized.biz,2,2,69.13.47.202,2,us,2026-02-27,2026-04-08,TOXIC,pbn-ip-cluster:69.13.47; very-low-authority(AS2)
officialdirectory.co,2,3,64.182.139.17,2,us,2026-02-27,2026-04-09,TOXIC,pbn-ip-cluster:64.182.139; very-low-authority(AS2); directory/article/bookmark-spam-name
open-web-directory.com,2,2,64.182.163.96,2,us,2026-03-01,2026-04-10,TOXIC,pbn-ip-cluster:64.182.163; very-low-authority(AS2); directory/article/bookmark-spam-name
popularweb.co.uk,2,1,64.182.144.203,2,us,2026-02-13,2026-04-15,TOXIC,pbn-ip-cluster:64.182.144; very-low-authority(AS2)
primelistings.info,2,2,69.13.121.49,2,us,2026-03-07,2026-08-20,TOXIC,pbn-ip-cluster:69.13.121; very-low-authority(AS2); directory/article/bookmark-spam-name
rizing.biz,2,2,64.182.163.97,2,us,2026-02-27,2026-04-17,TOXIC,pbn-ip-cluster:64.182.163; very-low-authority(AS2)
seekbump.org,2,2,69.13.128.81,2,us,2026-02-28,2026-08-25,TOXIC,pbn-ip-cluster:69.13.128; very-low-authority(AS2)
sitealliance.net,2,3,64.182.181.97,2,us,2026-03-03,2026-04-12,TOXIC,pbn-ip-cluster:64.182.181; very-low-authority(AS2)
stardirectory.org,2,2,69.13.77.174,2,us,2026-02-26,2026-04-07,TOXIC,pbn-ip-cluster:69.13.77; very-low-authority(AS2); directory/article/bookmark-spam-name
suggestwebsite.org,2,2,64.182.188.34,2,us,2026-02-27,2026-04-09,TOXIC,pbn-ip-cluster:64.182.188; very-low-authority(AS2)
tapalmbeaches.com,2,1,104.18.20.240,2,,2025-05-22,2026-03-20,TOXIC,very-low-authority(AS2); weak signal — human QA
